Locus_tag	Old_locus_tag	Mutant_norm_replica1	Mutant_norm_replica2	Mutant_norm_replica3	WildType_norm_replica1	WildType_norm_replica2	WildType_norm_replica3	FoldChange	pvalue	padj
SMLT_RS11665	Smlt2436	143.3095267	142.944788	130.3151848	152.6336936	172.2206339	128.6098872	0.917640654	0.554610653	0.609373641
SMLT_RS11675	Smlt2438	447.7494538	350.3979931	376.2621532	302.1734611	374.6113059	296.2362571	1.207180553	0.171062318	0.21337485
SMLT_RS11680	Smlt2439	1395.22591	1338.549656	1286.633021	1165.378877	1656.837923	1564.994471	0.916929071	0.509599232	0.568679945
SMLT_RS11685	Smlt2440	426.215898	411.9742094	404.7112428	457.9010809	483.9776938	394.4999912	0.929278481	0.527569395	0.585764002
SMLT_RS11690	Smlt2441	126.2311893	121.6863323	127.5620471	201.1052045	285.3582766	241.3241704	0.516631385	7.35E-06	1.59E-05
SMLT_RS11695	Smlt2442	141.0819175	90.89822414	104.6192328	193.8860433	212.4473513	232.653841	0.527919436	0.000104863	0.000203496
SMLT_RS11700	Smlt2443	363.1003033	291.0209273	379.0152909	301.1421523	330.6133337	290.4560375	1.119226032	0.393802264	0.453966499
SMLT_RS11705	Smlt2444	81.67900484	83.5677222	87.18269403	182.5416471	178.5060585	187.8571387	0.459662303	1.65E-08	4.45E-08
SMLT_RS11710	Smlt2445	110.6379247	85.03382258	83.51184376	228.9505405	228.7894553	286.1208727	0.376587314	3.23E-10	9.94E-10
SMLT_RS11715	Smlt2446	80.93646843	74.77111986	78.92328091	392.9286303	353.2408622	401.7252657	0.204365246	1.42E-33	1.49E-32
SMLT_RS11720	Smlt2447	60.14544902	76.23722025	74.33471807	838.4540063	653.6841579	511.5494391	0.104940762	1.15E-38	1.49E-37
SMLT_RS11725	Smlt2448	186.3766383	148.8091895	152.3402864	1620.186032	1117.548493	807.7856962	0.137450559	5.39E-25	3.82E-24
SMLT_RS11735	Smlt2450	1969.94909	2386.811434	1052.616316	2641.181685	1671.922942	1697.939522	0.899873871	0.635320296	0.683332394
SMLT_RS11745	Smlt2453	3887.178094	4360.182558	3617.622946	219.6687618	168.4493791	127.1648323	22.90662067	6.19E-87	3.44E-85
SMLT_RS11750	Smlt2454	468.5404732	422.9699623	305.5982854	115.506579	91.76719909	73.69780055	4.238581586	1.75E-15	7.52E-15
SMLT_RS11755	Smlt2455	102.4700243	72.57196928	86.26498146	86.62993423	87.99594433	70.80769072	1.061376517	0.735138872	0.775256844
SMLT_RS11760	Smlt2456	137.3692354	134.1481856	122.0557716	147.4771499	149.5931054	184.9670288	0.819811169	0.166790037	0.208714276
SMLT_RS11765	Smlt2457	452.2046723	436.1648658	445.0905958	1351.014451	1346.337948	1540.428537	0.314778082	3.24E-28	2.76E-27
SMLT_RS11770	Smlt2458	265.8280339	226.5125102	240.440693	520.8109141	483.9776938	330.917575	0.547680676	0.000118884	0.000229037
SMLT_RS11775	Smlt2459	253.9474514	246.3048654	266.1366449	600.2216872	588.3157421	359.8186733	0.4941151	1.95E-05	4.07E-05
SMLT_RS11780	Smlt2461	288.1041262	302.7497304	323.9525368	167.072016	147.0789355	80.92307511	2.301453446	1.00E-05	2.14E-05
SMLT_RS11785	Smlt2462	1009.849514	984.4864115	992.9649994	261.9524202	159.6497847	125.7197774	5.43004786	1.58E-19	8.49E-19
SMLT_RS11790	Smlt2463	913.3197814	946.3678014	1213.216016	467.1828596	274.0445123	307.7966964	2.922744463	8.13E-10	2.43E-09
SMLT_RS11795	Smlt2464	2070.191505	2015.154985	1824.412587	807.5147441	628.5424595	572.2417455	2.938902063	3.31E-16	1.49E-15
SMLT_RS11800	Smlt2465	1509.576517	1172.147261	1278.373608	891.0507521	598.3724214	330.917575	2.17254388	0.000584047	0.001040842
SMLT_RS11805	Smlt2466	132.1714806	98.22872609	85.34726889	121.6944314	60.34007611	89.59340459	1.159481042	0.497595126	0.55687978
SMLT_RS11810	Smlt2467	173.7535194	164.9362938	151.4225738	208.3243657	130.7368316	134.3901069	1.03102323	0.858893325	0.882780533
SMLT_RS11815	Smlt2468	897.7265169	903.1178399	825.9413119	969.4302164	873.6740187	765.8791038	1.006098874	0.957919876	0.965740408
SMLT_RS11820	Smlt2469	216.820631	266.0972207	252.3709564	345.4884282	360.7833718	338.1428496	0.703733885	0.004273948	0.006895793
SMLT_RS11825	Smlt2470	224.9885315	264.6311203	198.2259148	551.7501764	543.060685	492.7637252	0.433627195	1.22E-10	3.86E-10
SMLT_RS11830	Smlt2471	545.7642596	863.5331294	564.3932298	1292.229852	1025.781294	917.6098696	0.609871115	0.00387199	0.006289344
SMLT_RS11835	Smlt2472	760.3572814	1245.452281	824.1058867	918.8960881	397.2388344	352.5933987	1.693799989	0.04000875	0.05639318
SMLT_RS11840	Smlt2474	1329.882706	1168.48201	1292.139297	2337.976916	1460.732676	1153.15382	0.765008277	0.151788923	0.191599929
SMLT_RS11845	Smlt2475	790.8012741	749.177299	846.1309884	1514.99254	1115.034323	1073.6758	0.643662157	0.001215615	0.002090576
SMLT_RS11855	Smlt2477	337.1115291	299.8175296	364.3318898	1488.178513	898.8157171	739.8681153	0.319835511	3.28E-09	9.32E-09
SMLT_RS11860	Smlt2478	76.48124999	59.37706577	59.65131697	76.31684682	28.91295314	49.13186703	1.25772702	0.358951104	0.417594081
SMLT_RS11870	Smlt2481	806.3945387	475.0165262	881.9217786	259.8898027	169.7064641	130.0549421	3.85140842	1.31E-09	3.83E-09
SMLT_RS11875	Smlt2482	1819.956735	1400.858922	1569.288493	448.6193023	289.1295314	147.3956011	5.397064384	2.03E-12	7.16E-12
SMLT_RS11890	Smlt2487	92.07451455	69.6397685	78.00556834	42.28365838	47.76922692	13.00549421	2.296824347	0.00218776	0.003655652
SMLT_RS11895	Smlt2488	591.0589805	420.7708118	500.15335	289.7977562	175.9918887	131.4999971	2.521025082	9.53E-06	2.04E-05
