Gene_ID	Mutant_fpkm_replica1	Mutant_fpkm_replica2	Mutant_fpkm_replica3	WildType_fpkm_replica1	WildType_fpkm_replica2	WildType_fpkm_replica3
SMLT_RS02560	2.695568339	2.595554348	2.671894445	18.47001822	19.66403548	16.02992554
SMLT_RS02565	2.285871331	2.130799579	1.960784663	6.882423617	7.952430098	12.1286886
SMLT_RS02570	3.426472887	3.834267074	3.419965777	6.048364159	11.73991088	10.8995634
SMLT_RS02575	4.349144851	5.00469886	5.097405182	4.654945981	7.939637884	6.297386197
SMLT_RS02580	248.8584958	211.7749872	251.208601	112.7582425	89.10683841	60.26641527
SMLT_RS02585	47.37461356	52.33485093	45.05482009	43.58328493	31.94693301	23.66580223
SMLT_RS02590	38.16673042	39.63883277	33.49666736	24.39708114	16.07565118	12.10715377
SMLT_RS02595	30.67603649	30.50824253	36.61773253	21.96390841	29.3337351	20.6684322
SMLT_RS02600	268.3058272	208.7748158	333.8668963	11.88635043	7.765521541	8.010736027
SMLT_RS02605	42.25799008	46.56568033	42.81538468	25.11470818	21.27466616	20.63206545
SMLT_RS02610	59.04449906	68.25816066	65.13458397	23.19657674	24.36630484	31.08892654
SMLT_RS02615	6.001732825	5.322946377	5.396237189	3.081646409	5.147340116	3.84140558
SMLT_RS02620	2.145562093	2.91893178	2.18124989	1.899992077	5.137765896	3.536844012
SMLT_RS02625	97.89783473	109.038564	116.6410017	123.1689296	139.3371144	107.6098293
SMLT_RS02630	34.38330743	29.29123212	32.47333103	9.662753047	10.02335752	7.364888759
SMLT_RS02635	17.12070977	21.13522826	20.57835847	6.468762141	9.41132409	7.349628023
SMLT_RS02640	10.04876396	7.405043478	10.69976708	5.20570092	8.853288375	6.308877778
SMLT_RS02645	14.80389733	17.92074488	16.82226775	6.327334832	6.341209877	6.73706587
SMLT_RS02650	34.76900877	46.4206468	35.61696021	29.0675297	44.1743878	44.63014847
SMLT_RS02655	38.61547791	34.63121739	53.9465146	75.18474672	63.93300867	84.86960822
SMLT_RS02660	44.80392003	46.9412252	37.54860502	77.32694827	69.10517394	70.43461198
SMLT_RS02665	1.024315969	0.805151553	0.507659945	5.188486301	2.887858351	3.84140558
SMLT_RS02670	25.48542666	25.04065087	26.94184434	187.6622175	181.2758911	200.5777397
SMLT_RS02675	78.1245161	85.96721679	86.00631516	495.1430641	637.1448218	715.0493685
SMLT_RS02680	2.199170387	0.607722218	1.958464483	1.329144617	2.300829637	1.794905962
SMLT_RS02685	3.396416107	4.004569565	2.057358723	4.900512898	6.117699928	6.065377232
SMLT_RS02690	25.09574124	17.61269022	21.86842838	35.23998126	26.48360483	24.10112636
SMLT_RS02695	306.6119134	369.8664946	324.4793146	158.956353	81.5218347	95.34917422
SMLT_RS02700	205.5852526	287.2312169	195.3034385	22.40869344	38.52450382	31.17206168
SMLT_RS02705	9.679785906	11.22809001	8.328795966	37.33056933	27.71667175	24.03879586
SMLT_RS02710	10.53279386	15.69351432	11.7637063	540.0775088	487.425678	423.8130053
SMLT_RS02715	13.35351239	14.18909987	13.32607355	424.2024783	389.3589498	357.7443827
SMLT_RS02720	463.3940061	639.2282335	564.9404583	260.8042316	159.0722241	172.1736371
SMLT_RS02725	243.6711293	269.6479879	229.0553717	212.6973961	118.7565771	101.6192193
SMLT_RS02730	2741.82985	2878.530934	2584.433975	624.6460963	246.9565466	210.7327778
SMLT_RS02735	474.9450509	377.3118591	464.292517	66.18536037	76.66771673	72.19005089
SMLT_RS02740	42.90008401	58.94049571	48.04894124	97.51829758	115.7380414	106.1526443
SMLT_RS02745	49.18029876	44.07688629	53.30429419	112.1329854	122.7802597	117.4583629
SMLT_RS02750	60.19204101	87.32186413	64.29246009	106.3515565	107.5584743	124.7193193
SMLT_RS02755	9.340846614	9.072939179	10.31696016	162.5156102	163.5572257	177.2598971
SMLT_RS02760	17.50865668	17.69460971	19.2143386	172.2484213	227.6392122	271.1038488
SMLT_RS02765	37.65834517	44.81826486	38.70037797	18.48083252	16.82276389	14.32633793
